User_ID,Age,Gender,Location,Education,Occupation,Primary_App,Secondary_Apps,Usage_Frequency,Daily_Usage_Time,Reason_for_Using,Satisfaction,Challenges,Desired_Features,Preferred_Communication,Partner_Priorities,Multiple_Apps
111,24,Male,Bangalore,Undergraduate,Full-time Job,OkCupid,Tinder,Weekly,2 hours,Finding a Partner,2,Safety Concerns,Location-Based Matching,Video Calls,Appearance > Interests > Personality,Yes
112,18,Female,Pune,Undergraduate,Freelancer,Hinge,OkCupid,Weekly,1.5 hours,Casual Dating,4,Lack of Genuine Matches,Detailed Profiles,Text,Values > Personality > Appearance,Yes
113,23,Non-binary,Chennai,Undergraduate,Intern,Hinge,Bumble,Daily,1 hour,Casual Dating,3,Time-Wasting,Location-Based Matching,Video Calls,Personality > Interests > Values,Yes
114,19,Male,Chennai,Postgraduate,Intern,OkCupid,Hinge,Weekly,1 hour,Casual Dating,1,Time-Wasting,Location-Based Matching,Video Calls,Appearance > Interests > Personality,Yes
115,23,Male,Hyderabad,Graduate,Freelancer,Tinder,Unknown,Monthly,2 hours,Casual Dating,1,Unknown,Location-Based Matching,Video Calls,Values > Personality > Appearance,Yes
116,24,Non-binary,Kolkata,Postgraduate,Full-time Job,Tinder,Tinder,Weekly,1.5 hours,Casual Dating,1,Lack of Genuine Matches,Video Calls,Video Calls,Values > Personality > Appearance,Yes
117,24,Female,Delhi,Undergraduate,Intern,Bumble,OkCupid,Daily,2 hours,Finding a Partner,3,Lack of Genuine Matches,AI Recommendations,Text,Values > Personality > Appearance,Yes
118,25,Non-binary,Chennai,Undergraduate,Freelancer,Tinder,Tinder,Monthly,30 minutes,Casual Fun,3,Time-Wasting,Detailed Profiles,Voice Notes,Personality > Interests > Values,Yes
119,19,Male,Delhi,Postgraduate,Intern,Tinder,Hinge,Monthly,3 hours,Casual Fun,5,Unknown,Detailed Profiles,Video Calls,Personality > Interests > Values,Yes
120,21,Non-binary,Chennai,Postgraduate,Freelancer,Hinge,Hinge,Monthly,2 hours,Casual Fun,1,Time-Wasting,Location-Based Matching,Voice Notes,Personality > Interests > Values,Yes
121,25,Non-binary,Delhi,Graduate,Student,Unknown,Unknown,Daily,1 hour,Social Interaction,4,Safety Concerns,AI Recommendations,Text,Values > Personality > Appearance,Yes
122,24,Non-binary,Bangalore,Postgraduate,Intern,Unknown,OkCupid,Monthly,30 minutes,Casual Dating,4,Safety Concerns,Detailed Profiles,Video Calls,Personality > Interests > Values,Yes
123,19,Non-binary,Bangalore,Graduate,Intern,Bumble,Bumble,Monthly,1.5 hours,Casual Fun,3,Safety Concerns,Detailed Profiles,Video Calls,Values > Personality > Appearance,Yes
124,20,Non-binary,Bangalore,Undergraduate,Intern,Hinge,Tinder,Monthly,2 hours,Casual Fun,4,Time-Wasting,Location-Based Matching,Text,Appearance > Interests > Personality,Yes
125,18,Non-binary,Delhi,Postgraduate,Freelancer,Tinder,Tinder,Daily,1.5 hours,Finding a Partner,3,Time-Wasting,Video Calls,Video Calls,Values > Personality > Appearance,Yes
126,21,Male,Chennai,Graduate,Part-time Job,OkCupid,Hinge,Monthly,30 minutes,Finding a Partner,5,Safety Concerns,Location-Based Matching,Text,Values > Personality > Appearance,Yes
127,22,Female,Mumbai,Postgraduate,Student,Hinge,Unknown,Monthly,3 hours,Finding a Partner,3,Safety Concerns,Detailed Profiles,Text,Personality > Interests > Values,Yes
128,24,Male,Pune,Postgraduate,Student,Hinge,Unknown,Weekly,1 hour,Finding a Partner,2,Time-Wasting,Detailed Profiles,Video Calls,Values > Personality > Appearance,Yes
129,25,Female,Mumbai,Postgraduate,Student,Unknown,Hinge,Monthly,1 hour,Casual Dating,1,Safety Concerns,Audio Calls,Video Calls,Personality > Interests > Values,Yes
130,23,Male,Mumbai,Postgraduate,Freelancer,Hinge,Hinge,Monthly,30 minutes,Casual Dating,4,Time-Wasting,Video Calls,Text,Appearance > Interests > Personality,Yes
131,20,Female,Chennai,Graduate,Part-time Job,Bumble,Unknown,Daily,2 hours,Finding a Partner,4,Unknown,Video Calls,Video Calls,Appearance > Interests > Personality,Yes
132,24,Non-binary,Bangalore,Graduate,Part-time Job,Bumble,OkCupid,Monthly,1.5 hours,Finding a Partner,1,Lack of Genuine Matches,Video Calls,Video Calls,Appearance > Interests > Personality,Yes
133,25,Non-binary,Pune,Postgraduate,Intern,Bumble,Bumble,Monthly,30 minutes,Finding a Partner,2,Time-Wasting,Video Calls,Video Calls,Personality > Interests > Values,Yes
134,25,Female,Pune,Postgraduate,Part-time Job,Unknown,Unknown,Daily,1.5 hours,Casual Fun,3,Time-Wasting,Location-Based Matching,Voice Notes,Personality > Interests > Values,Yes
135,20,Female,Kolkata,Graduate,Intern,Hinge,Bumble,Daily,1 hour,Finding a Partner,4,Time-Wasting,Detailed Profiles,Text,Appearance > Interests > Personality,Yes
136,24,Male,Kolkata,Undergraduate,Student,Bumble,Bumble,Daily,1 hour,Finding a Partner,2,Lack of Genuine Matches,Location-Based Matching,Text,Personality > Interests > Values,Yes
137,18,Female,Chennai,Undergraduate,Part-time Job,Bumble,Unknown,Daily,3 hours,Casual Dating,5,Time-Wasting,Video Calls,Text,Appearance > Interests > Personality,Yes
138,18,Female,Bangalore,Undergraduate,Full-time Job,Unknown,OkCupid,Monthly,30 minutes,Casual Dating,4,Lack of Genuine Matches,Location-Based Matching,Text,Values > Personality > Appearance,Yes
139,23,Non-binary,Delhi,Undergraduate,Student,OkCupid,Unknown,Weekly,3 hours,Casual Dating,5,Unknown,Detailed Profiles,Video Calls,Personality > Interests > Values,Yes
140,18,Male,Chennai,Postgraduate,Student,Tinder,Hinge,Monthly,1 hour,Finding a Partner,1,Time-Wasting,Location-Based Matching,Voice Notes,Values > Personality > Appearance,Yes
141,19,Non-binary,Bangalore,Undergraduate,Part-time Job,Unknown,Unknown,Daily,1.5 hours,Casual Dating,1,Unknown,Audio Calls,Text,Appearance > Interests > Personality,Yes
142,22,Male,Pune,Postgraduate,Intern,Unknown,OkCupid,Monthly,1 hour,Social Interaction,3,Time-Wasting,Audio Calls,Video Calls,Values > Personality > Appearance,Yes
143,19,Male,Mumbai,Graduate,Freelancer,OkCupid,Hinge,Daily,30 minutes,Finding a Partner,3,Lack of Genuine Matches,Audio Calls,Text,Personality > Interests > Values,Yes
144,22,Female,Hyderabad,Undergraduate,Freelancer,OkCupid,Unknown,Weekly,3 hours,Finding a Partner,3,Time-Wasting,Location-Based Matching,Video Calls,Values > Personality > Appearance,Yes
145,24,Male,Chennai,Undergraduate,Freelancer,Tinder,OkCupid,Monthly,3 hours,Social Interaction,3,Lack of Genuine Matches,Detailed Profiles,Video Calls,Personality > Interests > Values,Yes
146,18,Non-binary,Kolkata,Postgraduate,Full-time Job,Hinge,Bumble,Weekly,2 hours,Casual Dating,5,Lack of Genuine Matches,AI Recommendations,Voice Notes,Values > Personality > Appearance,Yes
147,23,Non-binary,Hyderabad,Graduate,Full-time Job,Hinge,Tinder,Weekly,30 minutes,Casual Fun,5,Safety Concerns,Location-Based Matching,Voice Notes,Values > Personality > Appearance,Yes
148,23,Female,Delhi,Undergraduate,Student,Unknown,Bumble,Daily,3 hours,Social Interaction,5,Safety Concerns,Audio Calls,Text,Appearance > Interests > Personality,Yes
